date,title,text,source_name,sentiment,tickers,topics,url
2024-11-22,65% of Warren Buffett's $293 Billion Portfolio at Berkshire Hathaway Is Invested in These 5 Unstoppable Stocks,The Oracle of Omaha has concentrated Berkshire's investment portfolio in his best ideas.,The Motley Fool,Positive,AAPL|AXP|BAC|BRK-A|BRK-B|CVX|KO,wbuffett,https://www.fool.com/investing/2024/11/22/65-warren-buffett-portfolio-5-unstoppable-stocks/
2024-11-21,3 Rock-Solid Buying Opportunities in the Market Right Now,"Certain stocks in the market are not supposed to sell off at any time, and some brands and business models are widely known to be rock-solid and relatively immune to volatility. However, every once in a while, the system throws an unexpected event at these companies, rendering most volatility models useless and leaving most investors holding out for answers.",MarketBeat,Positive,KO|MCD|PEP,,https://www.marketbeat.com/stock-ideas/3-rock-solid-buying-opportunities-in-the-market-right-now/?utm_source=snapi
2024-11-21,Like Passive Income? Then You'll Love These 3 Dividend Stocks.,Dividends are a key way these three companies pass along profits to their shareholders.,The Motley Fool,Positive,APD|FANG|KO,dividend,https://www.fool.com/investing/2024/11/21/like-passive-income-buy-dividend-stocks/
2024-11-21,Dividend King Coca-Cola Stock Makes Up 8.5% of Warren Buffett's Portfolio. Should It Be in Yours?,Dividend King Coca-Cola Stock Makes Up 8.5% of Warren Buffett's Portfolio. Should It Be in Yours?,The Motley Fool,Positive,KO,dividend|wbuffett,https://www.fool.com/investing/2024/11/21/dividend-king-coca-cola-stock-makes-up-86-of-warre/
2024-11-20,"Of 63 Fortune 500 Industry Leaders, 57 Pay Dividends, 38 Are Cash Rich And 1 Is A Buy","AT&T, Altria Group, and Energy Transfer are top buys with dividends from $1K invested exceeding single share prices, meeting the dogcatcher ideal. Analysts forecast 15.47% to 28.33% net gains by November 2025 for top-ten F500IL dogs, with Energy Transfer as the standout “safer” choice. Eight F500IL stocks show negative free cash flow margins, making them unsafe buys; price drops or dividend increases could make top-yield F500IL fair-priced.",Seeking Alpha,Positive,ADM|CAR|CEG|COP|CSCO|CVS|ET|HAL|JNJ|JPM|KO|KR|MO|NKE|OMC|PEP|PLD|SO|T|UPS|XOM,dividend|paylimitwall,https://seekingalpha.com/article/4739120-of-63-fortune-500-industry-leaders-57-pay-dividends-38-are-cash-rich-and-1-is-a-buy
2024-11-20,Baby Boomers: 3 Top Defensive Stocks to Add in 2024 and Hold Through Retirement,"Last year, the S&P 500 reached new highs despite geopolitical tensions and market pressures.",24/7 Wall Street,Negative,KO|NOC|PFE,,https://247wallst.com/investing/2024/11/20/baby-boomers-3-top-defensive-stocks-to-add-in-2024-and-hold-through-retirement/?utm_source=snapi
2024-11-20,Want Safe Dividend Income in 2024 and Beyond? Invest in the Following 3 Ultra-High-Yield Stocks.,Want Safe Dividend Income in 2024 and Beyond? Invest in the Following 3 Ultra-High-Yield Stocks.,The Motley Fool,Positive,KO|PG|TGT,dividend,https://www.fool.com/investing/2024/11/20/want-safe-dividend-income-in-2024-and-beyond-inves/
2024-11-18,"Down 12% in a Month, Is Coca-Cola the Best Warren Buffett Dividend Stock to Buy Now?",Declining demand and a strong U.S. dollar could impact Coke's results.,The Motley Fool,Neutral,KO,dividend|wbuffett,https://www.fool.com/investing/2024/11/18/coca-cola-dividend-stock-buy-berkshire-hathaway/
2024-11-15,Coca-Cola: This Dividend King Is Finally A Buy,"Coca-Cola is our preferred defensive income stock, and now it offers competitive dividend yield. The company has increased dividends for 61 consecutive years, with a 70% payout ratio, and it can maintain dividends even amidst volatility. Coca-Cola's growth is driven by emerging markets and strategic acquisitions, despite challenges like dollar appreciation.",Seeking Alpha,Positive,KO,dividend|paylimitwall,https://seekingalpha.com/article/4738000-coca-cola-this-dividend-king-is-finally-a-buy
2024-11-15,"Processed food stocks fall as investors brace for increased scrutiny under Trump, RFK Jr.",Shares of several companies behind popular soda and snack brands pulled back sharply Friday.,CNBC,Negative,CAG|CPB|GIS|KHC|KO|PEP|LW,,https://www.cnbc.com/2024/11/15/food-stocks-fall-as-investors-brace-for-increased-scrutiny-from-rfk-jr.html
2024-11-15,Dividend Stock Showdown: Coca-Cola or Realty Income?,Two long-term dividend growers. Which is the better buy?,The Motley Fool,Neutral,KO|O,dividend|podcast,https://www.fool.com/investing/2024/11/15/dividend-stock-showdown-coca-cola-or-realty-income/
2024-11-15,One Stock I've Been Buying This Month And One I'm Looking To Buy,"PepsiCo and Realty Income have experienced price drops due to high inflation, but both companies remain fundamentally sound with strong long-term growth potential. Food inflation, in particular, has continued to weigh on consumer discretionary stocks like PepsiCo and Coca-Cola. PepsiCo's current valuation offers a forward P/E of 20.24x, below its 5-year average, making it an attractive buy near $160 for potential upside.",Seeking Alpha,Positive,ADC|DG|KO|O|PEP|USB|WBA,paylimitwall,https://seekingalpha.com/article/4736811-one-stock-ive-been-buying-this-month-and-one-im-looking-to-buy
2024-11-15,Coca-Cola Europacific Partners plc Announces Transfer to ESCC Category,"THIS ANNOUNCEMENT DOES NOT CONSTITUTE A PROSPECTUS OR PROSPECTUS EQUIVALENT DOCUMENT AND NEITHER THIS ANNOUNCEMENT NOR ANYTHING HEREIN FORMS THE BASIS FOR ANY OFFER TO PURCHASE OR SUBSCRIBE FOR ANY SHARES OR OTHER SECURITIES IN THE COMPANY NOR SHALL IT FORM THE BASIS FOR ANY CONTRACT OR COMMITMENT WHATSOEVER. UXBRIDGE, UNITED KINGDOM / ACCESSWIRE / November 15, 2024 / Further to the announcement on 18 October 2024, Coca-Cola Europacific Partners plc (""CCEP"" or the ""Company"") is pleased to announce the approval by the Financial Conduct Authority (the ""FCA"") of the transfer of the listing category of its ordinary shares from the Equity Shares (Transition) category to the Equity Shares (Commercial Companies) category of the Official List of the FCA (the ""Transfer"") which became effective at 8:00 a.m.",Accesswire,Neutral,KO,PressRelease,https://www.accesswire.com/943195/coca-cola-europacific-partners-plc-announces-transfer-to-escc-category
2024-11-14,"Is Coca-Cola a Buy, Sell, or Hold in 2025?",The soda giant has been a staple for decades. Does it still hold up as an investment?,The Motley Fool,Neutral,KO,,https://www.fool.com/investing/2024/11/14/is-coca-cola-a-buy-sell-or-hold-in-2025/
2024-11-14,Top 3 Risk Off Stocks You'll Regret Missing In Q4,The most oversold stocks in the consumer staples sector presents an opportunity to buy into undervalued companies.,Benzinga,Positive,BGS|KO|MFG,paywall,https://www.benzinga.com/trading-ideas/long-ideas/24/11/41967645/top-3-risk-off-stocks-youll-regret-missing-in-q4?utm_source=snapi
2024-11-14,3 Ultra-Safe Dividend Stocks That Have Been Paying Dividends for More Than 100 Years,These are income stocks you can buy and hold forever.,The Motley Fool,Positive,ABT|KO|LLY,dividend,https://www.fool.com/investing/2024/11/14/3-ultra-safe-dividend-stocks-that-have-been-paying/
2024-11-13,3 Unstoppable Dividend Growth Stocks and 1 ETF Perfect for a Passive-Income Portfolio,These three time-tested dividend growth stocks and one low-cost ETF could power your passive income portfolio for decades.,The Motley Fool,Positive,COST|KO|TJX|VIG,dividend,https://www.fool.com/investing/2024/11/13/3-unstoppable-dividend-growth-stocks-and-1-etf-per/
2024-11-13,"Why Were Dividend King Stocks Coca-Cola, PepsiCo, and Procter & Gamble Falling After the Election?","The S&P 500 may be hitting an all-time high, but these three safe stocks are missing out.",The Motley Fool,Positive,KO|PEP|PG,dividend,https://www.fool.com/investing/2024/11/13/dividend-king-stocks-coca-cola-falling-election/
2024-11-12,KO Stock Drops 9.8% in a Month: Buying Opportunity or Warning Sign?,"The Coca-Cola Company KO stock has rolled down 9.8% in the past month, underperforming the broader industry's 6.3% decline. With this decline, KO shares have underperformed the broader Consumer Staples sector's dip of 3.8% and the S&P 500's rally of 2.7% in the same period.",Zacks Investment Research,Neutral,KO,,https://www.zacks.com/stock/news/2369135/ko-stock-drops-9-8-in-a-month-buying-opportunity-or-warning-sign?cid=CS-STOCKNEWSAPI-FT-analyst_blog|most_popular_stocks-2369135
2024-11-12,How Much Will Coca-Cola Pay Out in Dividends in 2025?,"Warren Buffett loves the sweet taste of Coca-Cola's dividends, but should you take a sip, too?",The Motley Fool,Positive,KO,dividend,https://www.fool.com/investing/2024/11/12/how-much-will-coca-cola-pay-out-in-dividends-in-20/
2024-11-11,Why this Warren Buffett stock is set to skyrocket,"Though Coca-Cola (NYSE: KO) has, overall, been doing well in 2024, its recent stock market fortunes have been somewhat lackluster.",Finbold,Positive,BRK-A|BRK-B|KO,wbuffett,https://finbold.com/why-this-warren-buffett-stock-is-set-to-skyrocket/?utm_source=snapi
2024-11-10,Retirees: 2 High-Yield Dividend Stocks to Beef up Your Passive Income,"Retired investors still have numerous options to add to their passive income streak, while rates and yields are still on the high end of the recent historical range.",24/7 Wall Street,Positive,KO|T,dividend,https://247wallst.com/investing/2024/11/10/retirees-2-high-yield-dividend-stocks-to-beef-up-your-passive-income/?utm_source=snapi
2024-11-09,"Warren Buffett Invested $99 Billion of His Portfolio in 2 Stocks That Could Rise 19% and 20%, According to a Couple of Wall Street Analysts","Berkshire Hathaway has been trimming its equity portfolio, but it's still heavily exposed to these two components.",The Motley Fool,Neutral,AAPL|KO,wbuffett,https://www.fool.com/investing/2024/11/09/warren-buffett-invested-99-billion-of-his-portfoli/
2024-11-06,Coca-Cola Beverages Florida invests $10 million to expand Ocala operations; Opens new Sales and Distribution Center,"TAMPA, Fla.--(BUSINESS WIRE)--Coca-Cola Beverages Florida, LLC (Coke Florida) officially opened its new Ocala Sales and Distribution Center and celebrated with a ribbon-cutting ceremony attended by associates, local officials, and community partners. The nearly 28,000-square-foot facility, located off Silver Springs Boulevard and NW 52nd Avenue, represents a $10 million investment by Coke Florida, creates a permanent hub for the company's local operations, and reinforces its commitment to the c.",Business Wire,Neutral,KO,PressRelease,https://www.businesswire.com/news/home/20241106656894/en/Coca-Cola-Beverages-Florida-invests-10-million-to-expand-Ocala-operations-Opens-new-Sales-and-Distribution-Center/
2024-11-05,You'll Be Shocked at These 5 Companies Warren Buffett Could Buy With Cash Right Now,Berkshire Hathaway has truly incredible financial flexibility right now.,The Motley Fool,Neutral,ADBE|BRK-A|BRK-B|CAT|CVX|KO|MCD,wbuffett,https://www.fool.com/investing/2024/11/05/youll-be-shocked-at-these-5-companies-warren-buffe/
2024-11-05,"Warren Buffett Is Selling Apple and Bank of America, but Here Are 3 Stocks He Plans to Hold Forever","Buffett is cutting Berkshire's stock exposure across the board, except for these three companies.",The Motley Fool,Neutral,AXP|KO|OXY,wbuffett,https://www.fool.com/investing/2024/11/05/warren-buffett-is-selling-apple-and-bank-of-americ/
2024-11-05,Coca-Cola Europacific Partners cuts annual sales forecast on weak Europe demand,"Coca-Cola Europacific Partners , a bottling unit of Coca-Cola , lowered its annual sales forecast on Tuesday in response to reduced demand for beverages in Europe, as well as weakness in Indonesia linked to the Middle East conflict.",Reuters,Negative,KO,earnings,https://www.reuters.com/business/retail-consumer/coca-cola-europacific-partners-cuts-annual-sales-forecast-weak-europe-demand-2024-11-05/
2024-11-05,3 Top Berkshire Hathaway Stocks to Buy in November,"Apple, Coca-Cola, and Amazon are all still evergreen investments.",The Motley Fool,Positive,AAPL|AMZN|KO,StocksToWatch,https://www.fool.com/investing/2024/11/05/3-top-berkshire-hathaway-stocks-to-buy-in-november/
2024-11-04,3 Tasty Stocks with Long Term Growth and Stable Dividends,"Investors looking for stable dividends and long-term growth often turn to consumer staples and consumer discretionary stocks, especially those with household brand names and a proven track record. Here are three industry leaders that provide attractive dividend yields, promising value opportunities, and favorable risk-reward entry points, along with some potential downsides to keep in mind.",MarketBeat,Positive,KHC|KO|MCD,dividend,https://www.marketbeat.com/stock-ideas/3-tasty-stocks-with-long-term-growth-and-stable-dividends/?utm_source=snapi
2024-11-03,"If I Could Buy Only 5 Stocks in the Vanguard Value ETF Through 2025, I'd Pick These 3 High-Yield Blue-Chip Dividend Stocks and These 2 Top Tech Stocks",The Vanguard Value ETF is chock-full of great companies with track records of paying and raising their dividends every year.,The Motley Fool,Positive,AVGO|CVX|KO|ORCL|PEP,dividend,https://www.fool.com/investing/2024/11/03/top-dividend-stock-growth-buy-vanguard-value-etf/
2024-11-03,2 Warren Buffett Dividend Stocks You Can Buy Now With $100,Buffett's Berkshire Hathaway is set to earn almost $1.3 billion in passive income from these two stocks.,The Motley Fool,Positive,KHC|KO,dividend|wbuffett,https://www.fool.com/investing/2024/11/03/2-warren-buffett-dividend-stocks-buy-now-100/
2024-11-02,Buy 3 November Dogs Of The Dow And Watch 7 More,"""The Dow® [adds a stock] if the company has an excellent reputation,",Seeking Alpha,Positive,AMGN|AMZN|BA|CSCO|CVX|DOW|IBM|INTC|JNJ|KO|MRK|MSFT|NKE|PG|VZ,paylimitwall,https://seekingalpha.com/article/4732352-buy-3-november-dogs-of-dow-watch-7-more
2024-11-02,2 High-Yield Stocks to Buy in November,These household names offer attractive yields that are more than double the market average.,The Motley Fool,Positive,KO|UPS,dividend|StocksToWatch,https://www.fool.com/investing/2024/11/02/2-high-yield-stocks-to-buy-in-november/
2024-11-01,Why Coca-Cola Stock Could Be In for a Tough Year in 2025,"With inflation coming down, Coca-Cola may have less justification to raise prices next year.",The Motley Fool,Negative,KO,,https://www.fool.com/investing/2024/11/01/why-coca-cola-stock-could-be-in-for-a-tough-year-i/
2024-11-01,3 Large-Cap Stocks Primed for a Year-End Melt-Up Rally,"Now that the U.S. economy is going through a potential scenario of inflation sparking up once again, investors might be wary of where to invest their capital accordingly so that inflation doesn't erode their buying power but also wisely enough so that losses don't come their way to add onto the potential inflation risks coming ahead.",MarketBeat,Positive,KO|MA|XOM,,https://www.marketbeat.com/stock-ideas/3-large-cap-stocks-primed-for-a-year-end-melt-up-rally/?utm_source=snapi
2024-11-01,The Coca-Cola Company Announces New Reporting Lines for Costa Coffee and innocent Businesses to Europe Operating Unit,"ATLANTA--(BUSINESS WIRE)--The Coca-Cola Company announced today that innocent Drinks and Costa Coffee will report to the company's Europe operating unit, effective Jan. 1, 2025. These organizational changes are intended to streamline and simplify the current structure. There are no significant numbers of employment changes, as the vast majority of current roles will continue. Background The Global Ventures group was established in 2019 primarily to oversee the company's ownership of Costa, inno.",Business Wire,Neutral,KO,PressRelease,https://www.businesswire.com/news/home/20241101498634/en/The-Coca-Cola-Company-Announces-New-Reporting-Lines-for-Costa-Coffee-and-innocent-Businesses-to-Europe-Operating-Unit/
